party_id,booking_code,booking_period,invoice_number,invoice_date,due_date,closed_date,remark,currency,amount,tax_amount,company_id,ledger
11480,,2018-08,90558,2018-06-02 00:00:00,2018-07-02 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-08,90559,2018-06-02 00:00:00,2018-07-02 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-08,90560,2018-06-02 00:00:00,2018-07-02 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-08,90561,2018-06-02 00:00:00,2018-07-02 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-08,90562,2018-06-02 00:00:00,2018-07-02 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-08,90563,2018-06-02 00:00:00,2018-07-02 00:00:00,,,EUR,900.3852,0,999,P
11480,,2018-08,90564,2018-06-02 00:00:00,2018-07-02 00:00:00,,,EUR,900.3852,0,999,P
11480,,2018-08,90565,2018-06-02 00:00:00,2018-07-02 00:00:00,,,EUR,900.3852,0,999,P
11480,,2018-09,90566,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,900.3852,0,999,P
11480,,2018-09,90567,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,900.3852,0,999,P
11480,,2018-09,90568,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,900.3852,0,999,P
11480,,2018-09,90569,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-09,90570,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-09,90571,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-09,90572,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-09,90573,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-09,90574,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-09,90575,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-09,90576,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-09,90577,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,711.3834,0,999,P
11480,,2018-09,90578,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,711.3834,0,999,P
11484,,2018-09,90579,2018-07-01 00:00:00,2018-08-31 00:00:00,,,EUR,177361.8795,0,999,P
11484,,2018-11,90580,2018-08-31 00:00:00,2018-10-30 00:00:00,,,EUR,76114.2096,0,999,P
11484,,2018-11,90581,2018-10-01 00:00:00,2018-10-31 00:00:00,,,EUR,76114.2096,0,999,P
11484,,2018-12,90582,2018-10-02 00:00:00,2018-11-01 00:00:00,,,EUR,142480.6695,0,999,P
11504,,2018-11,90583,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,856.44,0,999,P
11514,,2017-11,90584,2017-09-06 00:00:00,2017-10-06 00:00:00,,,EUR,41.8275,0,999,P
11514,,2018-06,90585,2018-04-03 00:00:00,2018-05-03 00:00:00,,,EUR,242.3889,0,999,P
11514,,2018-09,90586,2018-07-07 00:00:00,2018-08-06 00:00:00,,,EUR,13379.535,0,999,P
11514,,2018-10,90587,2018-08-08 00:00:00,2018-09-07 00:00:00,,,EUR,13900.9923,0,999,P
11514,,2018-12,90588,2018-10-03 00:00:00,2018-11-02 00:00:00,,,EUR,13834.6299,0,999,P
11518,,2018-11,90589,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,56.16,0,999,P
